ID,Game,Activity
151603803,Company of Heroes,play
151603804,Bastion,purchase
151603805,Bastion,play
151603806,Undertale,purchase
151603807,Undertale,play
151603808,Counter-Strike Global Offensive,purchase
151603809,Counter-Strike Global Offensive,play
151603810,Orcs Must Die!,purchase
151603811,Orcs Must Die!,play
151603812,THE KING OF FIGHTERS XIII STEAM EDITION,purchase
151603813,THE KING OF FIGHTERS XIII STEAM EDITION,play
151603814,GUILTY GEAR XX ACCENT CORE PLUS R,purchase
151603815,GUILTY GEAR XX ACCENT CORE PLUS R,play
151603816,Skullgirls,purchase
151603817,Skullgirls,play
151603818,Assassin's Creed II,purchase
151603819,Assassin's Creed II,play
151603820,Company of Heroes Opposing Fronts,purchase
151603821,Company of Heroes Opposing Fronts,play
151603822,Team Fortress 2,purchase
151603823,Team Fortress 2,play
151603824,Guilty Gear X2 #Reload,purchase
151603825,Left 4 Dead 2,purchase
151603826,Psychonauts,purchase
151603827,Cities in Motion 2,purchase
151603828,Company of Heroes (New Steam Version),purchase
151603829,Company of Heroes 2,purchase
151603830,Fallout New Vegas,purchase
151603831,Fallout New Vegas Courier's Stash,purchase
151603832,Fallout New Vegas Dead Money,purchase
151603833,Fallout New Vegas Honest Hearts,purchase
151603834,Garry's Mod,purchase
151603835,Killing Floor Mod Defence Alliance 2,purchase
151603836,Magicka,purchase
151603837,Magicka Vietnam,purchase
151603838,Natural Selection 2,purchase
151603839,Psychonauts Demo,purchase
151603840,Sanctum,purchase
151603841,Sanctum 2,purchase
151603842,Serious Sam 3 BFE,purchase
151603843,Skullgirls Endless Beta,purchase
151603844,Skyrim High Resolution Texture Pack,purchase
151603845,Grand Theft Auto V,purchase
151603846,Grand Theft Auto V,play
151603847,Insurgency,purchase
151603848,Insurgency,play
151603849,Left 4 Dead 2,purchase
151603850,Left 4 Dead 2,play
151603851,METAL GEAR SOLID V THE PHANTOM PAIN,purchase
151603852,METAL GEAR SOLID V THE PHANTOM PAIN,play
151603853,S.T.A.L.K.E.R. Shadow of Chernobyl,purchase
151603854,S.T.A.L.K.E.R. Shadow of Chernobyl,play
151603855,S.T.A.L.K.E.R. Call of Pripyat,purchase
151603856,S.T.A.L.K.E.R. Call of Pripyat,play
151603857,Saints Row The Third,purchase
151603858,Saints Row The Third,play
151603859,Far Cry 3,purchase
151603860,Far Cry 3,play
151603861,S.T.A.L.K.E.R. Clear Sky,purchase
151603862,S.T.A.L.K.E.R. Clear Sky,play
151603863,Rocket League,purchase
151603864,Rocket League,play
151603865,Assassin's Creed II,purchase
151603866,Assassin's Creed II,play
151603867,Far Cry 4,purchase
151603868,Far Cry 4,play
151603869,Prototype,purchase
151603870,Prototype,play
151603871,Space Pirates and Zombies,purchase
151603872,Space Pirates and Zombies,play
151603873,Dying Light,purchase
151603874,Dying Light,play
151603875,Just Cause 2,purchase
151603876,Just Cause 2,play
151603877,Mirror's Edge,purchase
151603878,Mirror's Edge,play
151603879,Mad Max,purchase
151603880,Mad Max,play
151603881,Portal 2,purchase
151603882,Portal 2,play
151603883,Deus Ex Human Revolution,purchase
151603884,Deus Ex Human Revolution,play
151603885,Middle-earth Shadow of Mordor,purchase
151603886,Middle-earth Shadow of Mordor,play
151603887,RUNNING WITH RIFLES,purchase
151603888,RUNNING WITH RIFLES,play
151603889,Deus Ex Human Revolution - Director's Cut,purchase
151603890,Deus Ex Human Revolution - Director's Cut,play
151603891,Batman Arkham City GOTY,purchase
151603892,Batman Arkham City GOTY,play
151603893,Tropico 4,purchase
151603894,Tropico 4,play
151603895,Cave Story+,purchase
151603896,Cave Story+,play
151603897,Dust An Elysian Tail,purchase
151603898,Dust An Elysian Tail,play
151603899,F.E.A.R.,purchase
151603900,F.E.A.R.,play
151603901,South Park The Stick of Truth,purchase
151603902,South Park The Stick of Truth,play
151603903,Sleeping Dogs,purchase
151603904,Sleeping Dogs,play
151603905,Watch_Dogs,purchase
151603906,Watch_Dogs,play
151603907,Saints Row IV,purchase
151603908,Saints Row IV,play
151603909,DayZ,purchase
151603910,DayZ,play
151603911,Half-Life 2,purchase
151603912,Half-Life 2,play
151603913,Reassembly,purchase
151603914,Reassembly,play
151603915,Sid Meier's Civilization III Complete,purchase
151603916,Sid Meier's Civilization III Complete,play
151603917,The Talos Principle,purchase
151603918,The Talos Principle,play
151603919,DiRT 3,purchase
151603920,DiRT 3,play
151603921,FTL Faster Than Light,purchase
151603922,FTL Faster Than Light,play
151603923,Bastion,purchase
151603924,Bastion,play
151603925,Age of Empires II HD Edition,purchase
151603926,Age of Empires II HD Edition,play
151603927,Batman Arkham Asylum GOTY Edition,purchase
151603928,Batman Arkham Asylum GOTY Edition,play
151603929,Gunpoint,purchase
151603930,Gunpoint,play
151603931,Rebuild 3 Gangs of Deadsville,purchase
151603932,Rebuild 3 Gangs of Deadsville,play
151603933,Recettear An Item Shop's Tale,purchase
151603934,Recettear An Item Shop's Tale,play
151603935,Metro 2033,purchase
151603936,Metro 2033,play
151603937,Monaco,purchase
151603938,Monaco,play
151603939,Fallout New Vegas,purchase
151603940,Fallout New Vegas,play
151603941,Overgrowth,purchase
151603942,Overgrowth,play
151603943,Assassin's Creed III,purchase
151603944,Assassin's Creed III,play
151603945,Ori and the Blind Forest,purchase
151603946,Ori and the Blind Forest,play
151603947,Far Cry 3 Blood Dragon,purchase
151603948,Far Cry 3 Blood Dragon,play
151603949,Burnout Paradise The Ultimate Box,purchase
151603950,Burnout Paradise The Ultimate Box,play
151603951,PROTOTYPE 2,purchase
151603952,PROTOTYPE 2,play
151603953,Game Dev Tycoon,purchase
151603954,Game Dev Tycoon,play
151603955,Sniper Elite 3,purchase
151603956,Sniper Elite 3,play
151603957,Gratuitous Space Battles,purchase
151603958,Gratuitous Space Battles,play
151603959,Sid Meier's Civilization V,purchase
151603960,Sid Meier's Civilization V,play
151603961,Rogue Legacy,purchase
151603962,Rogue Legacy,play
151603963,Plague Inc Evolved,purchase
151603964,Plague Inc Evolved,play
151603965,From Dust,purchase
151603966,From Dust,play
151603967,Next Car Game Wreckfest,purchase
151603968,Next Car Game Wreckfest,play
151603969,Rivals of Aether,purchase
151603970,Rivals of Aether,play
151603971,Half-Life 2 Episode Two,purchase
151603972,Half-Life 2 Episode Two,play
151603973,Rise of Nations Extended Edition,purchase
151603974,Rise of Nations Extended Edition,play
151603975,Nidhogg,purchase
151603976,Nidhogg,play
151603977,Spec Ops The Line,purchase
151603978,Spec Ops The Line,play
151603979,Dishonored,purchase
151603980,Dishonored,play
151603981,Half-Life 2 Episode One,purchase
151603982,Half-Life 2 Episode One,play
151603983,Wolfenstein The New Order,purchase
151603984,Wolfenstein The New Order,play
151603985,Distance,purchase
151603986,Distance,play
151603987,Epic Battle Fantasy 4,purchase
151603988,Epic Battle Fantasy 4,play
151603989,Metro Last Light,purchase
151603990,Metro Last Light,play
151603991,Miasmata,purchase
151603992,Miasmata,play
151603993,Dead Space,purchase
151603994,Dead Space,play
151603995,Hotline Miami,purchase
151603996,Hotline Miami,play
151603997,NOT A HERO,purchase
151603998,NOT A HERO,play
151603999,Receiver,purchase
151604000,Receiver,play
151604001,Crypt of the NecroDancer,purchase
151604002,Crypt of the NecroDancer,play
151604003,Portal,purchase
151604004,Portal,play
151604005,F.E.A.R. 2 Project Origin,purchase
151604006,F.E.A.R. 2 Project Origin,play
151604007,NaissanceE,purchase
151604008,NaissanceE,play
151604009,SteamWorld Dig,purchase
151604010,SteamWorld Dig,play
151604011,Kairo,purchase
151604012,Kairo,play
151604013,SNOW,purchase
151604014,SNOW,play
151604015,The Binding of Isaac,purchase
151604016,The Binding of Isaac,play
151604017,LEGO The Lord of the Rings,purchase
151604018,LEGO The Lord of the Rings,play
151604019,METAL GEAR RISING REVENGEANCE,purchase
151604020,METAL GEAR RISING REVENGEANCE,play
151604021,Starpoint Gemini 2,purchase
151604022,Starpoint Gemini 2,play
151604023,The Vanishing of Ethan Carter,purchase
151604024,The Vanishing of Ethan Carter,play
151604025,Goat Simulator,purchase
151604026,Goat Simulator,play
151604027,Mass Effect,purchase
151604028,Mass Effect,play
151604029,Arma 2 Operation Arrowhead,purchase
151604030,Arma 2 Operation Arrowhead,play
151604031,METAL GEAR SOLID V GROUND ZEROES,purchase
151604032,METAL GEAR SOLID V GROUND ZEROES,play
151604033,Banished,purchase
151604034,Banished,play
151604035,DiRT Showdown,purchase
151604036,DiRT Showdown,play
151604037,Left 4 Dead,purchase
151604038,Left 4 Dead,play
151604039,Sonic Adventure 2 ,purchase
151604040,Sonic Adventure 2 ,play
151604041,Grand Theft Auto IV,purchase
151604042,Grand Theft Auto IV,play
151604043,Battlestations Midway,purchase
151604044,Battlestations Midway,play
151604045,HOARD,purchase
151604046,HOARD,play
151604047,Sunless Sea,purchase
151604048,Sunless Sea,play
151604049,Mark of the Ninja,purchase
151604050,Mark of the Ninja,play
151604051,L.A. Noire,purchase
151604052,L.A. Noire,play
151604053,Creeper World 3 Arc Eternal,purchase
151604054,Creeper World 3 Arc Eternal,play
151604055,Turbo Dismount,purchase
151604056,Turbo Dismount,play
151604057,Floating Point,purchase
151604058,Floating Point,play
151604059,Grow Home,purchase
151604060,Grow Home,play
151604061,LUFTRAUSERS,purchase
151604062,LUFTRAUSERS,play
151604063,Arma 2,purchase
151604064,Arma 2,play
151604065,No Time To Explain Remastered,purchase
151604066,No Time To Explain Remastered,play
151604067,FEZ,purchase
151604068,FEZ,play
151604069,Delver,purchase
151604070,Delver,play
151604071,The Legend of Heroes Trails in the Sky,purchase
151604072,The Legend of Heroes Trails in the Sky,play
151604073,Evoland,purchase
151604074,Evoland,play
151604075,Bleed,purchase
151604076,Bleed,play
151604077,Borderlands 2,purchase
151604078,Borderlands 2,play
151604079,Race The Sun,purchase
151604080,Race The Sun,play
151604081,Shadowgrounds,purchase
151604082,Shadowgrounds,play
151604083,They Bleed Pixels,purchase
151604084,They Bleed Pixels,play
151604085,BioShock,purchase
151604086,BioShock,play
151604087,Trine,purchase
151604088,Trine,play
151604089,"Sir, You Are Being Hunted",purchase
151604090,"Sir, You Are Being Hunted",play
151604091,Next Car Game Sneak Peek 2.0,purchase
151604092,Next Car Game Sneak Peek 2.0,play
151604093,Symphony,purchase
151604094,Symphony,play
151604095,DLC Quest,purchase
151604096,DLC Quest,play
151604097,Far Cry 2,purchase
151604098,Far Cry 2,play
151604099,The Stanley Parable,purchase
151604100,The Stanley Parable,play
151604101,Freedom Planet,purchase
151604102,Freedom Planet,play
151604103,KHOLAT,purchase
151604104,KHOLAT,play
151604105,Osmos,purchase
151604106,Osmos,play
151604107,Secrets of Rtikon,purchase
151604108,Secrets of Rtikon,play
151604109,Oil Rush,purchase
151604110,Oil Rush,play
151604111,Unepic,purchase
151604112,Unepic,play
151604113,FINAL FANTASY VII,purchase
151604114,FINAL FANTASY VII,play
151604115,The Legend of Korra,purchase
151604116,The Legend of Korra,play
151604117,404Sight,purchase
151604118,404Sight,play
151604119,Dark Souls Prepare to Die Edition,purchase
151604120,Dark Souls Prepare to Die Edition,play
151604121,Gravity Ghost,purchase
151604122,Gravity Ghost,play
151604123,Psychonauts,purchase
151604124,Psychonauts,play
151604125,Rock of Ages,purchase
151604126,Rock of Ages,play
151604127,Spore,purchase
151604128,Spore,play
151604129,Half-Life 2 Lost Coast,purchase
151604130,Half-Life 2 Lost Coast,play
151604131,Galcon Legends,purchase
151604132,Galcon Legends,play
151604133,Air Brawl,purchase
151604134,Air Brawl,play
151604135,Cat Goes Fishing,purchase
151604136,Cat Goes Fishing,play
151604137,One Finger Death Punch,purchase
151604138,One Finger Death Punch,play
151604139,Mind Path to Thalamus Enhanced Edition,purchase
151604140,Mind Path to Thalamus Enhanced Edition,play
151604141,INK,purchase
151604142,INK,play
151604143,Intrusion 2,purchase
151604144,Intrusion 2,play
151604145,Amnesia The Dark Descent,purchase
151604146,Amnesia The Dark Descent,play
151604147,Fieldrunners,purchase
151604148,Fieldrunners,play
151604149,Out There Somewhere,purchase
151604150,Out There Somewhere,play
151604151,KAMI,purchase
151604152,KAMI,play
151604153,Lone Survivor The Director's Cut,purchase
151604154,Lone Survivor The Director's Cut,play
151604155,NightSky,purchase
151604156,NightSky,play
151604157,Frozen Synapse,purchase
151604158,Frozen Synapse,play
151604159,Hammerfight,purchase
151604160,Hammerfight,play
151604161,Spintires,purchase
151604162,Spintires,play
151604163,Ziggurat,purchase
151604164,Ziggurat,play
151604165,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,purchase
151604166,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,play
151604167,Dead Island,purchase
151604168,Dead Island,play
151604169,Superbrothers Sword & Sworcery EP,purchase
151604170,Superbrothers Sword & Sworcery EP,play
151604171,GRID 2,purchase
151604172,GRID 2,play
151604173,Sonic & All-Stars Racing Transformed,purchase
151604174,Sonic & All-Stars Racing Transformed,play
151604175,Call of Juarez Gunslinger,purchase
151604176,Call of Juarez Gunslinger,play
151604177,Crysis 2 Maximum Edition,purchase
151604178,Crysis 2 Maximum Edition,play
151604179,Strike Vector,purchase
151604180,Strike Vector,play
151604181,Prison Architect,purchase
151604182,Prison Architect,play
151604183,Lego Harry Potter,purchase
151604184,Lego Harry Potter,play
151604185,Outlast,purchase
151604186,Outlast,play
151604187,Super Hexagon,purchase
151604188,Super Hexagon,play
151604189,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,purchase
151604190,WRC 4 FIA WORLD RALLY CHAMPIONSHIP,play
151604191,Valkyria Chronicles,purchase
151604192,Valkyria Chronicles,play
151604193,Shatter,purchase
151604194,Shatter,play
151604195,Proteus,purchase
151604196,Proteus,play
151604197,Jamestown,purchase
151604198,Jamestown,play
151604199,Spelunky,purchase
151604200,Spelunky,play
151604201,Astebreed,purchase
151604202,Astebreed,play
151604203,STAR WARS Knights of the Old Republic II The Sith Lords,purchase
151604204,STAR WARS Knights of the Old Republic II The Sith Lords,play
151604205,Phantom Breaker Battle Grounds,purchase
151604206,Phantom Breaker Battle Grounds,play
151604207,Tom Clancy's Splinter Cell Chaos Theory,purchase
151604208,Tom Clancy's Splinter Cell Chaos Theory,play
151604209,The Witcher Enhanced Edition,purchase
151604210,The Witcher Enhanced Edition,play
151604211,Risk of Rain,purchase
